UserID,CourseID,Rating
3957,583,4
928,444,5
6935,660,3
6582,637,5
4460,1131,4
7209,107,5
716,619,5
9948,587,3
758,131,5
3656,5,5
1135,1825,4
3614,665,5
3562,588,4
2566,747,5
4407,1676,5
1409,5,4
416,551,5
4907,5,3
1648,2371,4
1823,592,5
2761,415,5
1164,564,4
2043,1652,5
4600,1536,4
9216,2350,5
6596,1996,5
2342,5,5
2254,564,5
5734,1612,5
9003,2012,5
254,2053,5
6672,2301,4
8158,801,5
8853,774,5
4118,554,4
4,82,5
8720,1031,5
268,1520,5
621,15,4
466,588,5
5198,310,4
9322,554,4
498,2335,5
9041,1852,5
8888,749,5
72,2134,5
2667,554,5
9228,607,5
1607,552,5
2011,1725,5
5995,554,4
1146,854,5
1816,2007,4
7950,1715,5
5859,573,5
4094,1739,4
1176,665,4
2970,2492,4
8062,62,4
1830,1539,4
2924,1462,4
4837,1217,3
491,431,4
2456,1433,4
317,592,4
6505,61,4
817,2594,3
9250,2335,5
8845,233,4
4901,563,5
190,2227,4
8264,1156,5
1365,595,4
437,1131,5
9018,1814,4
466,564,4
8438,850,5
1421,772,4
7442,1667,5
6,2036,5
2991,583,4
7620,640,5
102,127,5
1940,1097,4
49,552,4
2292,2340,3
9580,2052,4
50,2350,4
468,1715,5
2601,1119,5
1246,627,5
437,551,5
5,588,5
4275,968,5
3179,560,5
1237,131,5
95,2301,3
3481,568,4
4774,2227,5
2392,1737,5
259,638,5
1116,242,5
3335,556,5
6695,747,5
1353,860,5
1573,592,4
1629,555,4
41,2545,5
1413,982,5
2414,39,5
24,642,4
4935,2206,4
1649,2371,4
6386,118,5
652,2151,5
2,567,5
7998,748,4
89,1725,4
3185,554,4
1919,850,5
4821,549,4
3773,836,5
9343,774,5
2835,554,5
8329,691,4
9531,2237,5
954,588,4
78,588,4
512,1523,5
834,552,5
7,2036,3
778,549,5
1245,5,5
1882,376,4
7259,748,5
4875,100,5
939,1191,5
87,560,4
2947,180,5
1392,554,5
7528,2492,5
2083,1668,5
918,733,4
2868,2134,5
467,841,5
8217,1848,5
20,15,5
2341,1518,4
7780,742,5
5509,2357,4
7189,832,5
1047,2267,4
1641,118,5
361,1131,5
6973,82,5
886,1103,3
620,640,4
3749,1545,5
843,2050,4
3252,1587,5
1,635,4
1660,39,4
1881,682,5
4889,2471,4
1980,1665,5
121,2507,4
50,2187,4
4084,2267,4
7560,860,5
691,690,5
3076,482,3
1220,1489,5
3360,411,3
5980,1851,5
3775,1575,5
5455,2227,4
3203,2090,5
8235,2036,5
45,2340,5
4984,2036,5
134,2471,4
68,154,5
3501,840,4
2762,576,5
6984,748,5
2005,1001,5
1560,15,4
6620,1012,5
1182,628,5
2008,254,5
9241,591,5
8801,665,5
89,574,5
3697,660,4
3605,1667,5
3675,1935,5
284,1489,5
356,665,5
2930,2350,5
7312,2025,4
890,34,5
