UserID,CourseID,Rating
3957,583,3
928,444,3
6935,660,3
6582,637,4
4460,1131,3
7209,107,3
716,619,4
9948,587,4
758,131,3
3656,5,4
1135,1825,3
3614,665,3
3562,588,4
2566,747,2
4407,1676,2
1409,5,3
416,551,3
4907,5,4
1648,2371,3
1823,592,3
2761,415,4
1164,564,3
2043,1652,3
4600,1536,2
9216,2350,3
6596,1996,3
2342,5,3
2254,564,3
5734,1612,3
9003,2012,3
254,2053,3
6672,2301,4
8158,801,3
8853,774,3
4118,554,4
4,82,3
8720,1031,3
268,1520,2
621,15,3
466,588,4
5198,310,3
9322,554,4
498,2335,3
9041,1852,3
8888,749,2
72,2134,3
2667,554,3
9228,607,4
1607,552,4
2011,1725,2
5995,554,4
1146,854,3
1816,2007,3
7950,1715,4
5859,573,4
4094,1739,4
1176,665,3
2970,2492,3
8062,62,3
1830,1539,4
2924,1462,3
4837,1217,3
491,431,2
2456,1433,2
317,592,4
6505,61,4
817,2594,3
9250,2335,4
8845,233,3
4901,563,3
190,2227,3
8264,1156,4
1365,595,3
437,1131,5
9018,1814,1
466,564,4
8438,850,3
1421,772,3
7442,1667,3
6,2036,3
2991,583,3
7620,640,3
102,127,4
1940,1097,3
49,552,3
2292,2340,3
9580,2052,3
50,2350,4
468,1715,3
2601,1119,3
1246,627,3
437,551,4
5,588,4
4275,968,3
3179,560,3
1237,131,2
95,2301,3
3481,568,4
4774,2227,3
2392,1737,3
259,638,2
1116,242,3
3335,556,3
6695,747,3
1353,860,3
1573,592,4
1629,555,4
41,2545,3
1413,982,3
2414,39,3
24,642,2
4935,2206,3
1649,2371,3
6386,118,4
652,2151,3
2,567,4
7998,748,3
89,1725,2
3185,554,4
1919,850,4
4821,549,4
3773,836,2
9343,774,4
2835,554,3
8329,691,3
9531,2237,5
954,588,4
78,588,4
512,1523,3
834,552,3
7,2036,4
778,549,3
1245,5,3
1882,376,3
7259,748,3
4875,100,4
939,1191,3
87,560,3
2947,180,3
1392,554,3
7528,2492,3
2083,1668,4
918,733,2
2868,2134,3
467,841,3
8217,1848,4
20,15,3
2341,1518,2
7780,742,3
5509,2357,3
7189,832,3
1047,2267,3
1641,118,3
361,1131,4
6973,82,3
886,1103,3
620,640,4
3749,1545,3
843,2050,2
3252,1587,3
1,635,3
1660,39,4
1881,682,4
4889,2471,2
1980,1665,4
121,2507,3
50,2187,4
4084,2267,4
7560,860,3
691,690,3
3076,482,2
1220,1489,3
3360,411,3
5980,1851,3
3775,1575,3
5455,2227,4
3203,2090,3
8235,2036,5
45,2340,3
4984,2036,5
134,2471,3
68,154,3
3501,840,2
2762,576,3
6984,748,3
2005,1001,4
1560,15,4
6620,1012,3
1182,628,3
2008,254,2
9241,591,3
8801,665,4
89,574,3
3697,660,2
3605,1667,3
3675,1935,3
284,1489,3
356,665,4
2930,2350,3
7312,2025,2
890,34,3
263,15,4
762,1577,4
102,1001,4
4909,2036,3
107,2036,4
3286,1947,3
625,27,3
8805,748,4
844,1379,5
3605,1191,3
4463,536,4
412,2267,4
232,26,3
8667,54,3
8775,554,4
5016,2419,2
235,603,3
1129,633,3
3492,1032,3
697,1766,5
4050,774,2
1636,15,4
923,1715,2
551,676,3
3585,768,4
4664,180,3
1864,1667,2
845,657,3
1021,2352,3
3921,15,4
57,628,4
5523,552,3
